sto,ocp
3.0000000e-03,4.2764173e+00
6.0000000e-03,4.2686977e+00
9.0000000e-03,4.2613474e+00
1.2000000e-02,4.2546489e+00
1.5000000e-02,4.2484212e+00
1.8000000e-02,4.2425571e+00
2.1000000e-02,4.2371106e+00
2.4000000e-02,4.2322188e+00
2.7000000e-02,4.2275842e+00
3.0000000e-02,4.2232295e+00
3.3000000e-02,4.2194474e+00
3.6000000e-02,4.2156652e+00
3.9000000e-02,4.2122649e+00
4.2000000e-02,4.2091348e+00
4.5000000e-02,4.2062280e+00
4.8000000e-02,4.2035911e+00
5.1000000e-02,4.2011452e+00
5.4000000e-02,4.1988902e+00
5.7000000e-02,4.1967338e+00
6.0000000e-02,4.1947619e+00
6.3000000e-02,4.1928888e+00
6.6000000e-02,4.1910156e+00
6.9000000e-02,4.1895241e+00
7.2000000e-02,4.1879470e+00
7.5000000e-02,4.1866108e+00
7.8000000e-02,4.1850837e+00
8.1000000e-02,4.1839384e+00
8.4000000e-02,4.1826388e+00
8.7000000e-02,4.1813383e+00
9.0000000e-02,4.1804196e+00
9.3000000e-02,4.1791664e+00
9.6000000e-02,4.1782001e+00
9.9000000e-02,4.1772576e+00
1.0200000e-01,4.1761715e+00
1.0500000e-01,4.1751579e+00
1.0800000e-01,4.1743943e+00
1.1100000e-01,4.1734399e+00
1.1400000e-01,4.1724855e+00
1.1700000e-01,4.1717220e+00
1.2000000e-01,4.1707676e+00
1.2300000e-01,4.1698132e+00
1.2600000e-01,4.1688588e+00
1.2900000e-01,4.1679044e+00
1.3200000e-01,4.1667591e+00
1.3500000e-01,4.1656138e+00
1.3800000e-01,4.1644685e+00
1.4100000e-01,4.1630813e+00
1.4400000e-01,4.1617808e+00
1.4700000e-01,4.1600986e+00
1.5000000e-01,4.1584163e+00
1.5300000e-01,4.1565431e+00
1.5600000e-01,4.1545426e+00
1.5900000e-01,4.1526056e+00
1.6200000e-01,4.1503432e+00
1.6500000e-01,4.1479046e+00
1.6800000e-01,4.1453803e+00
1.7100000e-01,4.1428219e+00
1.7400000e-01,4.1401851e+00
1.7700000e-01,4.1373573e+00
1.8000000e-01,4.1345295e+00
1.8300000e-01,4.1316368e+00
1.8600000e-01,4.1285827e+00
1.8900000e-01,4.1254741e+00
1.9200000e-01,4.1224554e+00
1.9500000e-01,4.1192460e+00
1.9800000e-01,4.1159845e+00
2.0100000e-01,4.1126362e+00
2.0400000e-01,4.1094267e+00
2.0700000e-01,4.1060262e+00
2.1000000e-01,4.1026290e+00
2.1300000e-01,4.0994165e+00
2.1600000e-01,4.0960163e+00
2.1900000e-01,4.0924252e+00
2.2200000e-01,4.0891707e+00
2.2500000e-01,4.0858061e+00
2.2800000e-01,4.0822245e+00
2.3100000e-01,4.0788242e+00
2.3400000e-01,4.0756147e+00
2.3700000e-01,4.0722144e+00
2.4000000e-01,4.0688141e+00
2.4300000e-01,4.0656045e+00
2.4600000e-01,4.0623950e+00
2.4900000e-01,4.0592695e+00
2.5200000e-01,4.0561672e+00
2.5500000e-01,4.0533038e+00
2.5800000e-01,4.0503209e+00
2.6100000e-01,4.0473023e+00
2.6400000e-01,4.0444747e+00
2.6700000e-01,4.0416470e+00
2.7000000e-01,4.0390103e+00
2.7300000e-01,4.0363735e+00
2.7600000e-01,4.0339053e+00
2.7900000e-01,4.0312330e+00
2.8200000e-01,4.0287476e+00
2.8500000e-01,4.0262701e+00
2.8800000e-01,4.0239795e+00
2.9100000e-01,4.0216981e+00
2.9400000e-01,4.0194431e+00
2.9700000e-01,4.0171881e+00
3.0000000e-01,4.0151241e+00
3.0300000e-01,4.0129083e+00
3.0600000e-01,4.0108086e+00
3.0900000e-01,4.0087410e+00
3.1200000e-01,4.0068001e+00
3.1500000e-01,4.0048036e+00
3.1800000e-01,4.0029303e+00
3.2100000e-01,4.0008662e+00
3.2400000e-01,3.9988022e+00
3.2700000e-01,3.9970651e+00
3.3000000e-01,3.9949654e+00
3.3300000e-01,3.9929916e+00
3.3600000e-01,3.9911183e+00
3.3900000e-01,3.9890542e+00
3.4200000e-01,3.9871811e+00
3.4500000e-01,3.9851171e+00
3.4800000e-01,3.9831308e+00
3.5100000e-01,3.9811797e+00
3.5400000e-01,3.9791155e+00
3.5700000e-01,3.9770226e+00
3.6000000e-01,3.9751137e+00
3.6300000e-01,3.9729231e+00
3.6600000e-01,3.9706680e+00
3.6900000e-01,3.9686038e+00
3.7200000e-01,3.9665397e+00
3.7500000e-01,3.9641454e+00
3.7800000e-01,3.9620300e+00
3.8100000e-01,3.9598432e+00
3.8400000e-01,3.9577109e+00
3.8700000e-01,3.9552650e+00
3.9000000e-01,3.9530101e+00
3.9300000e-01,3.9509461e+00
3.9600000e-01,3.9485004e+00
3.9900000e-01,3.9460997e+00
4.0200000e-01,3.9437998e+00
4.0500000e-01,3.9415185e+00
4.0800000e-01,3.9390990e+00
4.1100000e-01,3.9366533e+00
4.1400000e-01,3.9342076e+00
4.1700000e-01,3.9317618e+00
4.2000000e-01,3.9293160e+00
4.2300000e-01,3.9268703e+00
4.2600000e-01,3.9244245e+00
4.2900000e-01,3.9218577e+00
4.3200000e-01,3.9193420e+00
4.3500000e-01,3.9170857e+00
4.3800000e-01,3.9144504e+00
4.4100000e-01,3.9118867e+00
4.4400000e-01,3.9094504e+00
4.4700000e-01,3.9070670e+00
4.5000000e-01,3.9044768e+00
4.5300000e-01,3.9018403e+00
4.5600000e-01,3.8993946e+00
4.5900000e-01,3.8967580e+00
4.6200000e-01,3.8941215e+00
4.6500000e-01,3.8914849e+00
4.6800000e-01,3.8888484e+00
4.7100000e-01,3.8864026e+00
4.7400000e-01,3.8837659e+00
4.7700000e-01,3.8811999e+00
4.8000000e-01,3.8785275e+00
4.8300000e-01,3.8758556e+00
4.8600000e-01,3.8732189e+00
4.8900000e-01,3.8705822e+00
4.9200000e-01,3.8680531e+00
4.9500000e-01,3.8653090e+00
4.9800000e-01,3.8628632e+00
5.0100000e-01,3.8602029e+00
5.0400000e-01,3.8575900e+00
5.0700000e-01,3.8549534e+00
5.1000000e-01,3.8523167e+00
5.1300000e-01,3.8498710e+00
5.1600000e-01,3.8472344e+00
5.1900000e-01,3.8447887e+00
5.2200000e-01,3.8421522e+00
5.2500000e-01,3.8395876e+00
5.2800000e-01,3.8371062e+00
5.3100000e-01,3.8348151e+00
5.3400000e-01,3.8323341e+00
5.3700000e-01,3.8298037e+00
5.4000000e-01,3.8274778e+00
5.4300000e-01,3.8251741e+00
5.4600000e-01,3.8227769e+00
5.4900000e-01,3.8204995e+00
5.5200000e-01,3.8182089e+00
5.5500000e-01,3.8160124e+00
5.5800000e-01,3.8138874e+00
5.6100000e-01,3.8116937e+00
5.6400000e-01,3.8094389e+00
5.6700000e-01,3.8073750e+00
5.7000000e-01,3.8052289e+00
5.7300000e-01,3.8031292e+00
5.7600000e-01,3.8011832e+00
5.7900000e-01,3.7991194e+00
5.8200000e-01,3.7970555e+00
5.8500000e-01,3.7951122e+00
5.8800000e-01,3.7930125e+00
5.9100000e-01,3.7911037e+00
5.9400000e-01,3.7893721e+00
5.9700000e-01,3.7873081e+00
6.0000000e-01,3.7855681e+00
6.0300000e-01,3.7837530e+00
6.0600000e-01,3.7818800e+00
6.0900000e-01,3.7800325e+00
6.1200000e-01,3.7783146e+00
6.1500000e-01,3.7765967e+00
6.1800000e-01,3.7746878e+00
6.2100000e-01,3.7728966e+00
6.2400000e-01,3.7712520e+00
6.2700000e-01,3.7695322e+00
6.3000000e-01,3.7678161e+00
6.3300000e-01,3.7660982e+00
6.3600000e-01,3.7644857e+00
6.3900000e-01,3.7628035e+00
6.4200000e-01,3.7611352e+00
6.4500000e-01,3.7594173e+00
6.4800000e-01,3.7577568e+00
6.5100000e-01,3.7562653e+00
6.5400000e-01,3.7544544e+00
6.5700000e-01,3.7529273e+00
6.6000000e-01,3.7514003e+00
6.6300000e-01,3.7497271e+00
6.6600000e-01,3.7480448e+00
6.6900000e-01,3.7465533e+00
6.7200000e-01,3.7448709e+00
6.7500000e-01,3.7433794e+00
6.7800000e-01,3.7416653e+00
6.8100000e-01,3.7401382e+00
6.8400000e-01,3.7384203e+00
6.8700000e-01,3.7370324e+00
6.9000000e-01,3.7353502e+00
6.9300000e-01,3.7338391e+00
6.9600000e-01,3.7321764e+00
6.9900000e-01,3.7306849e+00
7.0200000e-01,3.7290026e+00
7.0500000e-01,3.7275114e+00
7.0800000e-01,3.7258221e+00
7.1100000e-01,3.7242950e+00
7.1400000e-01,3.7227680e+00
7.1700000e-01,3.7210500e+00
7.2000000e-01,3.7195230e+00
7.2300000e-01,3.7179908e+00
7.2600000e-01,3.7163087e+00
7.2900000e-01,3.7149418e+00
7.3200000e-01,3.7135169e+00
7.3500000e-01,3.7118347e+00
7.3800000e-01,3.7103434e+00
7.4100000e-01,3.7086427e+00
7.4400000e-01,3.7071157e+00
7.4700000e-01,3.7055886e+00
7.5000000e-01,3.7040616e+00
7.5300000e-01,3.7023436e+00
7.5600000e-01,3.7010075e+00
7.5900000e-01,3.6992895e+00
7.6200000e-01,3.6978403e+00
7.6500000e-01,3.6961581e+00
7.6800000e-01,3.6946668e+00
7.7100000e-01,3.6929904e+00
7.7400000e-01,3.6916542e+00
7.7700000e-01,3.6899363e+00
7.8000000e-01,3.6885106e+00
7.8300000e-01,3.6868285e+00
7.8600000e-01,3.6853551e+00
7.8900000e-01,3.6838281e+00
7.9200000e-01,3.6823010e+00
7.9500000e-01,3.6806722e+00
7.9800000e-01,3.6792469e+00
8.0100000e-01,3.6776896e+00
8.0400000e-01,3.6761928e+00
8.0700000e-01,3.6745162e+00
8.1000000e-01,3.6730248e+00
8.1300000e-01,3.6713424e+00
8.1600000e-01,3.6698509e+00
8.1900000e-01,3.6681758e+00
8.2200000e-01,3.6666772e+00
8.2500000e-01,3.6651217e+00
8.2800000e-01,3.6635946e+00
8.3100000e-01,3.6618767e+00
8.3400000e-01,3.6603496e+00
8.3700000e-01,3.6586317e+00
8.4000000e-01,3.6571046e+00
8.4300000e-01,3.6554739e+00
8.4600000e-01,3.6536688e+00
8.4900000e-01,3.6521094e+00
8.5200000e-01,3.6502363e+00
8.5500000e-01,3.6487058e+00
8.5800000e-01,3.6468718e+00
8.6100000e-01,3.6452700e+00
8.6400000e-01,3.6433611e+00
8.6700000e-01,3.6416432e+00
8.7000000e-01,3.6401162e+00
8.7300000e-01,3.6382700e+00
8.7600000e-01,3.6364894e+00
8.7900000e-01,3.6347148e+00
8.8200000e-01,3.6330326e+00
8.8500000e-01,3.6311595e+00
8.8800000e-01,3.6292864e+00
8.9100000e-01,3.6276043e+00
8.9400000e-01,3.6257312e+00
8.9700000e-01,3.6238912e+00
9.0000000e-01,3.6219851e+00
9.0300000e-01,3.6202644e+00
9.0600000e-01,3.6184297e+00
9.0900000e-01,3.6165564e+00
9.1200000e-01,3.6147289e+00
9.1500000e-01,3.6128101e+00
9.1800000e-01,3.6109112e+00
9.2100000e-01,3.6090024e+00
9.2400000e-01,3.6069027e+00
9.2700000e-01,3.6048030e+00
9.3000000e-01,3.6030629e+00
9.3300000e-01,3.6009854e+00
9.3600000e-01,3.5989350e+00
9.3900000e-01,3.5970618e+00
9.4200000e-01,3.5949978e+00
9.4500000e-01,3.5931247e+00
9.4800000e-01,3.5912504e+00
9.5100000e-01,3.5891876e+00
9.5400000e-01,3.5875053e+00
9.5700000e-01,3.5857148e+00
9.6000000e-01,3.5839500e+00
9.6300000e-01,3.5822790e+00
9.6600000e-01,3.5805856e+00
9.6900000e-01,3.5790942e+00
9.7200000e-01,3.5775069e+00
9.7500000e-01,3.5761114e+00
9.7800000e-01,3.5746437e+00
9.8100000e-01,3.5733075e+00
9.8400000e-01,3.5719713e+00
9.8700000e-01,3.5707179e+00
9.9000000e-01,3.5694899e+00
9.9300000e-01,3.5683074e+00
9.9600000e-01,3.5670084e+00
9.9900000e-01,3.5660540e+00
